geneID	MH	US	GH	AN
GRMZM2G047918	0	0	0	0
GRMZM2G161435	0	0	0	0
GRMZM2G160273	0	1	1	0
GRMZM2G025598	1	0	0	0
GRMZM2G099334	0	0	0	1
GRMZM2G352431	0	0	0	0
GRMZM2G024739	0	0	0	1
GRMZM2G459166	0	0	0	0
GRMZM2G088736	0	1	0	1
GRMZM2G127121	0	0	0	0
GRMZM2G095299	0	0	0	0
GRMZM2G021777	0	0	1	0
GRMZM2G148453	0	0	0	0
GRMZM2G111504	0	1	0	0
GRMZM2G075683	0	0	1	0
GRMZM2G095382	0	1	0	0
GRMZM2G178603	1	1	0	0
GRMZM2G041839	0	0	0	0
GRMZM2G171852	1	0	0	1
GRMZM2G434203	1	0	0	1
GRMZM2G137341	1	0	0	0
GRMZM2G160565	0	1	0	0
GRMZM2G058292	0	1	1	1
GRMZM2G024948	1	0	1	1
GRMZM2G029850	1	1	1	0
GRMZM2G428242	0	1	1	0
GRMZM2G060919	1	0	1	1
GRMZM2G101350	0	0	1	0
GRMZM2G140694	0	0	0	0
GRMZM2G125432	0	0	0	1
GRMZM2G075562	0	1	1	0
GRMZM2G394941	0	0	0	0
GRMZM2G011789	0	0	0	0
GRMZM2G041991	1	1	1	0
GRMZM2G380184	0	0	0	0
GRMZM2G077755	0	0	0	0
GRMZM2G059958	0	0	1	0
GRMZM2G046885	0	0	0	0
GRMZM2G103101	0	0	1	0
GRMZM2G479760	0	0	0	0
GRMZM2G104920	1	0	1	0
GRMZM2G145690	0	0	0	0
GRMZM2G333565	0	0	0	0
GRMZM2G479110	0	0	0	0
GRMZM2G030744	1	1	1	0
GRMZM2G150932	0	0	1	1
GRMZM2G445944	1	1	1	0
GRMZM2G137387	1	0	0	0
GRMZM2G075628	0	0	1	0
GRMZM2G391364	0	0	0	0
GRMZM2G416701	1	0	0	1
GRMZM2G179069	0	0	0	1
GRMZM2G312970	1	0	1	0
GRMZM2G104017	0	1	0	0
GRMZM2G110378	0	1	0	0
GRMZM2G000703	0	0	0	0
GRMZM2G000703	0	0	0	0
GRMZM2G027253	0	0	1	0
GRMZM2G013617	0	0	1	1
